List.Year,Date.Recorded,Town,Assessed.Value,Sale.Amount,Sales.Ratio,Property.Type,County,Longitude,Latitude
2013,01/24/2014,Bloomfield,144410.0,189900.0,0.76045287,Single Family,Hartford,-72.7603962,41.8550222
2020,08/13/2021,Easton,303900.0,694125.0,0.4378,Residential,Fairfield,-73.2639813,41.2428159
2012,05/08/2013,Manchester,174500.0,277500.0,0.628828829,Single Family,Hartford,-72.4817736,41.8102926
2018,09/16/2019,West Hartford,168210.0,240000.0,0.700875,Single Family,Hartford,-72.7452279,41.7242402
2019,12/06/2019,Stamford,444510.0,645300.0,0.6888,Single Family,Fairfield,-73.5819798,41.1612974
2013,04/03/2014,Bristol,133490.0,189000.0,0.706296296,Single Family,Hartford,-72.9199182,41.6822157
2018,11/05/2018,Hebron,173160.0,300000.0,0.5772,Single Family,Tolland,-72.3621212,41.617261
2017,03/09/2018,Manchester,172200.0,272500.0,0.6319,Single Family,Hartford,-72.4934981,41.798582
2014,04/02/2015,Haddam,185510.0,152900.0,1.213276651,Single Family,Middlesex,-72.5215226,41.4579812
2018,06/24/2019,North Haven,155330.0,265000.0,0.5861,Condo,New Haven,-72.9690272,41.3244349
